Tier,FICO,Approve Date,Term,Amount,Car  Type,Competition rate,Accept?,Rate,Cost of Funds,Partner Bin
3,697,7/3/02,72,21211,N,6.25,0,7.49,1.8388,3
4,660,7/3/02,48,21301,N,5.65,0,7.99,1.8388,3
2,709,7/3/02,60,31000,N,5.65,0,5.79,1.8388,1
1,798,7/3/02,60,39539,N,5.65,0,5.49,1.8388,3
1,773,7/3/02,36,17500,N,4.95,0,4.85,1.8388,3
1,787,7/3/02,72,25000,N,6.25,0,6.59,1.8388,3
2,704,7/3/02,60,28515,N,5.65,0,5.79,1.8388,3
1,757,7/3/02,60,19979.7,N,5.65,1,5.49,1.8388,1
3,672,7/3/02,72,49605,N,6.25,0,7.49,1.8388,3
3,684,7/3/02,60,39000,N,5.65,0,6.99,1.8388,1
1,770,7/3/02,60,32000,N,5.65,0,5.49,1.8388,1
3,699,7/3/02,72,20000,N,6.25,0,7.49,1.8388,1
1,783,7/3/02,36,36268,N,4.95,1,4.85,1.8388,1
3,687,7/3/02,48,33424,N,5.65,0,6.99,1.8388,3
4,665,7/3/02,66,24000,N,6.25,0,8.99,1.8388,1
1,781,7/3/02,48,13773,N,5.65,0,5.49,1.8388,3
2,720,7/3/02,60,31900,N,5.65,0,5.79,1.8388,1
1,776,7/3/02,48,28000,N,5.65,0,5.49,1.8388,1
4,662,7/3/02,72,27468,N,6.25,0,8.99,1.8388,1
3,676,7/3/02,72,27652,N,6.25,1,7.49,1.8388,3
3,693,7/3/02,60,25000,N,5.65,0,6.99,1.8388,3
4,646,7/3/02,72,13566.75,N,6.25,1,8.99,1.8388,1
1,765,7/3/02,36,19000,U,5.45,0,5.49,1.8388,3
4,667,7/3/02,72,25803,N,6.25,0,8.99,1.8388,3
3,696,7/3/02,60,17500,N,5.65,0,6.99,1.8388,1
3,681,7/3/02,60,40000,N,5.65,0,6.99,1.8388,3
1,781,7/3/02,48,24000,N,5.65,0,5.49,1.8388,3
1,772,7/3/02,60,22000,N,5.65,0,5.49,1.8388,3
3,694,7/3/02,60,22416,N,5.65,0,6.99,1.8388,3
1,764,7/3/02,48,36000,N,5.65,0,5.49,1.8388,3
1,747,7/3/02,60,27000,N,5.65,0,5.49,1.8388,1
1,733,7/3/02,72,35000,N,6.25,0,6.59,1.8388,3
1,745,7/3/02,60,24029.55,N,5.65,1,5.49,1.8388,3
1,748,7/3/02,48,9301.97,U,5.85,1,5.85,1.8388,1
3,697,7/3/02,72,25888,N,6.25,0,7.49,1.8388,3
1,771,7/3/02,60,22500,N,5.65,1,5.49,1.8388,1
1,771,7/3/02,72,27099,N,6.25,0,6.59,1.8388,1
3,679,7/3/02,60,45000,N,5.65,0,6.99,1.8388,3
2,722,7/3/02,60,30000,N,5.65,0,5.79,1.8388,3
1,741,7/3/02,48,17000,N,5.65,1,5.49,1.8388,3
2,722,7/3/02,60,43000,N,5.65,0,5.79,1.8388,1
4,654,7/3/02,48,40000,N,5.65,0,7.99,1.8388,3
4,655,7/3/02,72,20809,U,6.45,0,8.99,1.8388,1
1,731,7/3/02,60,45000,N,5.65,0,5.49,1.8388,3
3,695,7/3/02,48,48000,N,5.65,0,6.99,1.8388,3
1,791,7/3/02,36,35000,N,4.95,0,4.85,1.8388,3
2,719,7/3/02,48,17500,N,5.65,0,5.79,1.8388,1
1,779,7/3/02,60,27000,N,5.65,0,5.49,1.8388,3
3,678,7/3/02,60,12000,U,5.85,1,7.29,1.8388,2
3,693,7/3/02,36,20000,N,4.95,0,6.99,1.8388,3
3,699,7/3/02,60,33196.6,N,5.65,1,6.99,1.8388,3
4,662,7/3/02,60,22741.99,U,5.85,0,7.99,1.8388,2
2,712,7/3/02,48,52500,N,5.65,0,5.79,1.8388,3
1,766,7/3/02,60,26000,N,5.65,0,5.49,1.8388,2
1,748,7/3/02,48,27331,N,5.65,0,5.49,1.8388,1
1,769,7/3/02,60,25000,N,5.65,0,5.49,1.8388,1
1,739,7/3/02,60,28000,N,5.65,0,5.49,1.8388,1
1,758,7/3/02,48,30000,N,5.65,0,5.59,1.8388,2
2,710,7/3/02,36,25000,N,4.95,0,5.79,1.8388,3
1,759,7/3/02,72,33000,N,6.25,0,6.59,1.8388,1
2,710,7/3/02,60,21000,U,5.85,0,6.19,1.8388,1
2,724,7/3/02,60,17621.17,U,5.85,1,6.19,1.8388,2
3,682,7/3/02,60,31936,N,5.65,0,6.99,1.8388,3
1,742,7/3/02,72,31400,N,6.25,0,6.59,1.8388,3
4,649,7/3/02,72,20000,N,6.25,0,8.99,1.8388,3
1,797,7/3/02,48,30000,N,5.65,0,5.49,1.8388,1
1,769,7/3/02,36,12000,N,4.95,1,4.85,1.8388,1
2,710,7/3/02,60,30000,N,5.65,0,5.79,1.8388,3
1,762,7/3/02,60,65000,N,5.65,0,5.49,1.8388,3
3,671,7/3/02,60,26080,N,5.65,0,6.99,1.8388,3
3,682,7/3/02,72,19000,N,6.25,0,7.49,1.8388,3
3,671,7/3/02,72,35000,N,6.25,0,7.49,1.8388,1
1,740,7/3/02,60,13227.42,U,5.85,1,5.35,1.8388,3
4,665,7/3/02,60,17341,N,5.65,0,7.49,1.8388,2
1,733,7/3/02,36,19866,N,4.95,0,4.85,1.8388,2
4,656,7/3/02,72,32118.88,N,6.25,1,8.99,1.8388,3
1,789,7/3/02,48,30000,N,5.65,0,5.49,1.8388,1
1,771,7/3/02,60,34000,N,5.65,0,5.49,1.8388,3
1,781,7/3/02,72,45000,N,6.25,0,6.59,1.8388,1
1,785,7/3/02,60,19000,U,5.85,0,5.85,1.8388,3
2,719,7/3/02,60,28834,N,5.65,0,5.79,1.8388,3
2,714,7/3/02,72,34065,N,6.25,0,6.99,1.8388,3
3,681,7/3/02,72,38000,N,6.25,0,7.49,1.8388,1
1,767,7/3/02,60,25693,N,5.65,0,5.49,1.8388,1
3,690,7/3/02,60,31000,N,5.65,0,6.99,1.8388,1
1,757,7/3/02,60,23605.89,N,5.65,1,5.49,1.8388,1
1,829,7/3/02,36,20000,N,4.95,0,4.85,1.8388,1
2,709,7/3/02,60,25000,N,5.65,0,5.79,1.8388,1
4,655,7/3/02,72,37457,N,6.25,0,8.99,1.8388,3
2,703,7/3/02,72,42500,N,6.25,0,6.99,1.8388,1
1,770,7/3/02,60,35000,N,5.65,0,5.49,1.8388,1
2,720,7/3/02,48,40000,N,5.65,0,5.79,1.8388,3
1,804,7/3/02,48,44000,N,5.65,0,5.49,1.8388,3
1,774,7/3/02,66,31000,N,6.25,0,6.29,1.8388,1
2,721,7/3/02,36,39500,N,4.95,0,5.79,1.8388,1
1,774,7/3/02,36,25000,N,4.95,0,4.85,1.8388,1
4,667,7/3/02,72,11750,N,6.25,0,8.99,1.8388,3
4,648,7/3/02,66,19205,N,6.25,0,8.99,1.8388,3
3,671,7/4/02,72,20000,N,6.25,0,7.49,1.84,3
1,748,7/3/02,48,23862,N,5.65,0,5.49,1.8388,1
1,769,7/3/02,36,25500,N,4.95,0,4.85,1.8388,1
3,680,7/3/02,72,23000,N,6.25,0,7.49,1.8388,3
3,688,7/3/02,72,35668,N,6.25,0,7.49,1.8388,1
4,668,7/3/02,72,50000,N,6.25,0,8.99,1.8388,3
1,755,7/3/02,72,32000,N,6.25,0,6.59,1.8388,1
1,776,7/3/02,72,24000,U,6.45,0,6.69,1.8388,3
1,794,7/3/02,36,19873,N,4.95,0,4.85,1.8388,1
1,734,7/3/02,36,32000,N,4.95,0,4.85,1.8388,1
2,720,7/3/02,60,22000,N,5.65,0,4.89,1.8388,2
1,734,7/3/02,48,20000,U,5.85,1,5.85,1.8388,1
4,649,7/3/02,72,19000,N,6.25,0,8.99,1.8388,1
1,786,7/3/02,48,30000,N,5.65,0,5.49,1.8388,3
2,715,7/3/02,72,27371,N,6.25,0,6.99,1.8388,3
3,674,7/5/02,72,24500,U,6.45,0,7.69,1.84,3
1,779,7/3/02,72,21892,N,6.25,0,6.59,1.8388,3
4,660,7/5/02,72,12000,N,6.25,0,8.99,1.84,1
2,722,7/3/02,36,30000,N,4.95,0,5.79,1.8388,3
3,694,7/3/02,48,20000,N,5.65,0,6.99,1.8388,3
1,759,7/3/02,72,40000,N,6.25,0,6.59,1.8388,1
3,671,7/3/02,60,38000,N,5.65,0,6.99,1.8388,1
4,641,7/3/02,72,21808,N,6.25,1,8.99,1.8388,3
1,762,7/3/02,72,38000,N,6.25,0,6.59,1.8388,3
4,668,7/3/02,72,24439,N,6.25,0,8.99,1.8388,3
4,669,7/3/02,60,25000,N,5.65,0,7.99,1.8388,3
3,680,7/3/02,72,35000,N,6.25,0,7.49,1.8388,1
2,702,7/3/02,60,37000,N,5.65,0,5.79,1.8388,1
2,703,7/3/02,72,23000,N,6.25,0,6.99,1.8388,3
1,761,7/3/02,60,43000,N,5.65,0,5.49,1.8388,3
1,769,7/3/02,60,30000,N,5.65,0,5.49,1.8388,3
1,730,7/3/02,72,35000,N,6.25,0,6.59,1.8388,3
1,781,7/3/02,36,32459,N,4.95,0,4.85,1.8388,3
4,640,7/3/02,60,12935,U,5.85,1,7.99,1.8388,3
1,788,7/3/02,60,25151,N,5.65,0,5.49,1.8388,2
2,725,7/3/02,48,20500,N,5.65,0,5.79,1.8388,1
2,700,7/4/02,48,63000,N,5.65,0,5.79,1.84,3
1,783,7/3/02,36,27000,N,4.95,0,4.85,1.8388,1
4,667,7/3/02,60,26200,N,5.65,0,7.99,1.8388,1
2,707,7/3/02,48,22000,N,5.65,0,5.79,1.8388,3
1,795,7/3/02,60,28000,N,5.65,0,5.49,1.8388,3
2,714,7/3/02,60,31000,U,5.85,0,6.19,1.8388,3
4,652,7/5/02,72,23164,N,6.25,0,8.99,1.84,3
1,772,7/3/02,60,37000,N,5.65,0,5.49,1.8388,1
1,755,7/3/02,48,17500,U,5.85,0,5.85,1.8388,1
1,754,7/3/02,60,29071,N,5.65,0,5.49,1.8388,3
1,763,7/3/02,60,42500,N,5.65,0,5.49,1.8388,3
1,743,7/4/02,60,20000,N,5.65,0,5.49,1.84,1
2,724,7/4/02,72,29089,N,6.25,0,6.99,1.84,3
2,703,7/4/02,72,23934.5,U,6.45,1,7.29,1.84,1
1,766,7/4/02,48,32000,N,5.65,0,5.49,1.84,1
1,781,7/4/02,48,40000,N,5.65,0,5.49,1.84,1
4,664,7/4/02,72,14000,N,6.25,0,8.99,1.84,3
2,714,7/4/02,72,26995,N,6.25,0,6.99,1.84,3
4,644,7/4/02,36,14362,N,4.95,0,7.99,1.84,3
2,722,7/4/02,36,25000,N,4.95,0,5.79,1.84,3
1,756,7/4/02,72,20479,U,6.45,1,6.69,1.84,1
1,804,7/4/02,60,32463,N,5.65,0,5.49,1.84,3
2,716,7/4/02,48,22000,U,5.85,0,6.19,1.84,1
2,711,7/4/02,48,33089,N,5.65,0,5.79,1.84,3
3,688,7/4/02,72,31535,N,6.25,0,7.49,1.84,1
1,768,7/4/02,36,30000,N,4.95,0,4.85,1.84,1
2,717,7/5/02,60,28600,N,5.65,0,5.79,1.84,3
4,650,7/4/02,72,20000,N,6.25,0,8.99,1.84,3
3,678,7/4/02,60,45000,N,5.65,0,6.99,1.84,3
1,776,7/5/02,48,20000,N,5.65,0,5.49,1.84,2
4,659,7/4/02,72,27635,N,6.25,0,8.99,1.84,3
3,678,7/4/02,60,36111,N,5.65,0,6.99,1.84,3
1,739,7/4/02,60,30000,N,5.65,0,5.49,1.84,3
1,758,7/4/02,72,23100,N,6.25,0,6.59,1.84,3
4,666,7/4/02,36,14191,U,5.45,0,7.99,1.84,1
4,668,7/4/02,48,24163,N,5.65,0,7.99,1.84,3
1,732,7/4/02,60,20000,N,5.65,0,5.49,1.84,3
4,641,7/4/02,72,37000,N,6.25,0,8.99,1.84,3
3,685,7/4/02,48,42000,N,5.65,0,6.99,1.84,1
4,664,7/4/02,72,20809,N,6.25,0,8.99,1.84,1
1,743,7/4/02,72,30000,N,6.25,0,6.24,1.84,1
3,672,7/4/02,72,23234,U,6.45,1,7.69,1.84,3
4,651,7/4/02,60,37500,N,5.65,0,7.99,1.84,3
3,680,7/4/02,72,24000,N,6.25,0,7.49,1.84,3
3,676,7/4/02,36,30000,N,4.95,0,6.99,1.84,3
1,744,7/4/02,36,40000,U,5.45,0,5.49,1.84,1
2,705,7/4/02,48,25000,N,5.65,0,5.79,1.84,1
1,750,7/4/02,48,42441,N,5.65,0,5.49,1.84,3
2,728,7/4/02,60,30000,N,5.65,0,5.79,1.84,1
1,762,7/4/02,60,33000,N,5.65,0,5.49,1.84,3
3,682,7/4/02,72,14162.4,U,6.45,1,7.69,1.84,1
1,838,7/4/02,48,40000,N,5.65,0,5.49,1.84,1
3,672,7/5/02,60,17500,N,5.65,0,6.99,1.84,3
3,671,7/5/02,60,30709,N,5.65,0,6.14,1.84,3
1,763,7/4/02,72,36913.9,U,6.45,1,6.69,1.84,1
1,815,7/4/02,60,29685,N,5.65,0,5.49,1.84,3
1,762,7/4/02,36,23564.45,N,4.95,1,4.85,1.84,1
2,723,7/4/02,72,27146,U,6.45,0,7.29,1.84,1
1,762,7/4/02,36,25000,N,4.95,0,4.85,1.84,1
1,791,7/5/02,60,40000,N,5.65,0,5.49,1.84,1
4,666,7/5/02,60,14000,N,5.65,0,7.99,1.84,1
4,646,7/4/02,72,22061.41,U,6.45,1,8.99,1.84,1
2,705,7/4/02,66,34000,N,6.25,0,6.39,1.84,1
1,730,7/4/02,60,42000,N,5.65,0,5.49,1.84,3
1,736,7/5/02,72,21301,N,6.25,0,6.59,1.84,3
3,689,7/5/02,60,30000,N,5.65,0,6.99,1.84,3
2,726,7/4/02,36,22000,N,4.95,0,5.79,1.84,3
4,646,7/5/02,72,15000,N,6.25,0,8.99,1.84,3
4,648,7/5/02,60,36500,N,5.65,0,7.99,1.84,1
1,765,7/4/02,36,7598.23,U,5.45,1,5.49,1.84,1
1,741,7/4/02,60,32000,N,5.65,0,5.49,1.84,2
1,761,7/5/02,72,25000,N,6.25,0,6.59,1.84,1
1,771,7/5/02,72,42838,N,6.25,0,6.59,1.84,1
4,669,7/5/02,60,15000,N,5.65,0,7.99,1.84,1
1,747,7/4/02,36,14599.42,N,4.95,1,4.85,1.84,3
1,760,7/4/02,48,23000,N,5.65,0,5.49,1.84,1
4,669,7/5/02,72,23444,N,6.25,0,8.99,1.84,3
3,698,7/5/02,72,33000,N,6.25,0,7.49,1.84,3
3,685,7/5/02,60,19404.75,N,5.65,1,6.99,1.84,3
1,814,7/4/02,60,37640,N,5.65,0,5.49,1.84,3
3,695,7/4/02,60,25077,N,5.65,0,6.99,1.84,3
1,765,7/5/02,60,20000,N,5.65,0,5.49,1.84,3
4,669,7/4/02,72,31000,N,6.25,0,8,1.84,3
1,788,7/4/02,60,29000,N,5.65,0,5.49,1.84,1
3,675,7/4/02,60,18055,N,5.65,0,6.99,1.84,1
1,773,7/4/02,60,34000,N,5.65,0,5.49,1.84,2
3,673,7/4/02,60,32000,N,5.65,0,6.99,1.84,3
1,793,7/4/02,60,31000,U,5.85,0,5.69,1.84,3
1,773,7/4/02,60,18708.85,N,5.65,1,5.49,1.84,3
1,730,7/4/02,60,49000,N,5.65,0,5.49,1.84,3
1,752,7/4/02,36,22500,U,5.45,0,5.49,1.84,1
2,719,7/4/02,48,22100,N,5.65,0,5.79,1.84,3
1,740,7/4/02,72,33000,N,6.25,0,6.59,1.84,3
4,649,7/5/02,72,34000,N,6.25,0,8.99,1.84,3
1,739,7/5/02,72,25000,N,6.25,0,6.59,1.84,1
2,722,7/4/02,72,40724,N,6.25,0,6.99,1.84,1
1,733,7/4/02,48,17082,N,5.65,0,5.49,1.84,3
3,678,7/4/02,36,12204.36,U,5.45,1,7.29,1.84,1
1,788,7/5/02,60,20000,N,5.65,0,5.49,1.84,3
4,645,7/5/02,60,15000,N,5.65,0,7.99,1.84,3
1,742,7/4/02,72,45000,N,6.25,0,6.59,1.84,3
1,768,7/4/02,48,25000,N,5.65,0,5.49,1.84,3
3,698,7/4/02,60,38000,N,5.65,0,6.99,1.84,3
1,750,7/4/02,66,26000,N,6.25,0,6.29,1.84,3
4,646,7/5/02,60,22198,N,5.65,0,7.99,1.84,1
1,827,7/4/02,66,23500,N,6.25,0,6.29,1.84,3
1,759,7/5/02,36,35000,N,4.95,0,4.85,1.84,3
2,719,7/5/02,60,18000,U,5.85,0,6.19,1.84,3
1,774,7/5/02,60,24000,N,5.65,0,5.49,1.84,1
1,806,7/4/02,60,30000,N,5.65,0,5.49,1.84,3
4,650,7/5/02,72,25803,N,6.25,0,8.99,1.84,1
1,750,7/4/02,60,30000,N,5.65,0,5.49,1.84,3
3,688,7/5/02,72,41886,N,6.25,0,7.49,1.84,3
4,647,7/5/02,72,39954,U,6.45,0,8.99,1.84,3
2,707,7/5/02,60,33400,N,5.65,0,5.79,1.84,1
4,640,7/5/02,48,35000,N,5.65,0,7.99,1.84,3
4,646,7/5/02,72,55000,N,6.25,0,8.99,1.84,3
4,651,7/5/02,48,18436,N,5.65,0,7.99,1.84,3
3,687,7/5/02,72,27000,U,6.45,0,7.69,1.84,3
1,741,7/5/02,72,40000,N,6.25,0,6.59,1.84,3
1,736,7/5/02,60,29500,N,5.65,0,5.49,1.84,3
4,662,7/5/02,60,11945,U,5.85,1,7.99,1.84,1
2,703,7/5/02,36,17500,N,4.95,0,5.79,1.84,3
1,834,7/5/02,36,35000,N,4.95,0,4.85,1.84,3
4,640,7/5/02,60,26000,N,5.65,0,7.99,1.84,3
4,660,7/5/02,36,17234,N,4.95,0,7.99,1.84,3
1,775,7/5/02,48,17500,N,5.65,0,5.49,1.84,1
1,749,7/5/02,48,30000,N,5.65,0,5.49,1.84,1
3,692,7/5/02,72,40000,N,6.25,0,7.49,1.84,1
1,730,7/5/02,60,31000,N,5.65,0,5.49,1.84,3
3,696,7/5/02,72,23767.37,N,6.25,1,7.49,1.84,3
1,779,7/5/02,60,40000,N,5.65,0,5.49,1.84,3
1,790,7/5/02,72,45000,N,6.25,0,6.59,1.84,3
1,754,7/5/02,48,27500,N,5.65,0,5.49,1.84,3
4,656,7/5/02,48,34414,N,5.65,0,7.99,1.84,3
2,709,7/5/02,72,30000,N,6.25,0,6.99,1.84,3
1,731,7/5/02,60,40000,N,5.65,0,5.49,1.84,3
3,687,7/5/02,48,22000,N,5.65,0,6.99,1.84,3
1,764,7/5/02,36,35000,N,4.95,0,4.85,1.84,1
4,665,7/5/02,72,20809,U,6.45,1,8.99,1.84,1
2,707,7/5/02,60,27000,N,5.65,0,5.79,1.84,1
2,710,7/5/02,60,30000,N,5.65,0,5.79,1.84,3
1,739,7/5/02,60,37500,N,5.65,0,5.49,1.84,3
2,715,7/5/02,72,18498.5,U,6.45,1,7.29,1.84,1
1,744,7/5/02,60,38500,N,5.65,0,5.49,1.84,1
1,735,7/5/02,60,28000,N,5.65,0,5.49,1.84,1
2,717,7/5/02,36,13111,N,4.95,0,5.79,1.84,3
1,757,7/5/02,66,15000,N,6.25,0,6.29,1.84,1
1,766,7/5/02,60,20000,N,5.65,0,5.49,1.84,3
2,729,7/5/02,60,37500,N,5.65,0,5.79,1.84,3
4,661,7/5/02,60,24000,N,5.65,0,7.99,1.84,3
2,728,7/5/02,72,16566.81,U,6.45,1,7.29,1.84,1
1,772,7/5/02,60,36000,N,5.65,0,5.49,1.84,3
1,757,7/5/02,36,20000,N,4.95,0,4.85,1.84,3
1,761,7/5/02,48,30000,N,5.65,0,5.49,1.84,1
4,658,7/5/02,72,15000,N,6.25,0,8.99,1.84,3
2,729,7/5/02,72,58178,N,6.25,0,6.99,1.84,3
2,704,7/5/02,60,28000,N,5.65,0,5.79,1.84,3
1,771,7/5/02,72,65000,N,6.25,0,6.59,1.84,3
4,664,7/5/02,72,30000,N,6.25,0,8.99,1.84,1
1,747,7/5/02,60,28000,N,5.65,0,5.49,1.84,3
3,687,7/5/02,60,35500,N,5.65,0,6.99,1.84,3
4,663,7/5/02,48,25000,N,5.65,0,7.99,1.84,3
1,801,7/5/02,60,22500,N,5.65,0,5.49,1.84,3
3,686,7/5/02,48,40000,N,5.65,0,6.99,1.84,3
1,770,7/5/02,60,32000,N,5.65,0,5.49,1.84,1
1,753,7/5/02,36,10332.44,N,4.95,1,4.85,1.84,1
1,758,7/5/02,60,26000,N,5.65,0,5.49,1.84,1
2,717,7/5/02,60,35000,N,5.65,0,5.79,1.84,1
3,680,7/5/02,60,22000,N,5.65,0,6.99,1.84,3
3,682,7/5/02,60,32000,N,5.65,0,6.99,1.84,3
1,801,7/5/02,36,22500,N,4.95,0,4.85,1.84,3
1,739,7/5/02,48,35000,N,5.65,0,5.49,1.84,3
1,771,7/5/02,72,47000,N,6.25,0,6.59,1.84,3
1,744,7/5/02,60,34710,N,5.65,0,5.49,1.84,3
3,671,7/5/02,72,42000,N,6.25,0,7.49,1.84,3
1,738,7/5/02,60,29071,N,5.65,0,5.49,1.84,1
1,765,7/5/02,72,36000,N,6.25,0,6.59,1.84,1
4,645,7/5/02,72,29000,N,6.25,0,8.99,1.84,3
1,755,7/5/02,36,33000,N,4.95,0,4.85,1.84,1
1,756,7/5/02,60,25000,U,5.85,0,5.85,1.84,3
2,716,7/5/02,72,26950,U,6.45,0,7.29,1.84,1
1,730,7/5/02,60,28000,N,5.65,0,5.49,1.84,1
2,719,7/5/02,72,33000,N,6.25,0,6.99,1.84,3
2,720,7/5/02,60,45000,N,5.65,0,5.79,1.84,3
2,723,7/5/02,48,22000,N,5.65,0,5.79,1.84,3
1,775,7/5/02,66,35000,N,6.25,0,6.29,1.84,1
4,662,7/5/02,60,18000,N,5.65,0,7.99,1.84,3
1,738,7/5/02,36,20601,N,4.95,0,4.85,1.84,3
3,673,7/5/02,72,25313,N,6.25,0,7.49,1.84,3
1,756,7/5/02,48,37000,U,5.85,0,5.85,1.84,1
4,661,7/5/02,60,23000,N,5.65,0,7.99,1.84,3
1,778,7/5/02,60,26000,N,5.65,0,5.49,1.84,3
1,752,7/5/02,36,22000,N,4.95,0,4.85,1.84,1
4,661,7/5/02,36,45000,N,4.95,0,7.99,1.84,1
3,695,7/5/02,72,35000,N,6.25,0,7.49,1.84,3
1,755,7/5/02,36,17500,N,4.95,0,4.85,1.84,3
2,718,7/5/02,60,25230,N,5.65,0,5.79,1.84,2
1,739,7/5/02,36,20000,N,4.95,0,4.85,1.84,3
1,765,7/5/02,60,23256,N,5.65,0,5.49,1.84,3
4,657,7/5/02,60,25158,N,5.65,0,7.99,1.84,3
3,678,7/5/02,36,22518,N,4.95,0,6.99,1.84,1
1,811,7/5/02,36,8669.69,U,5.45,1,5.49,1.84,1
3,692,7/5/02,60,31000,N,5.65,0,6.99,1.84,3
1,742,7/5/02,36,23368.25,N,4.95,1,4.85,1.84,3
3,670,7/5/02,36,17500,N,4.95,0,6.99,1.84,1
3,677,7/5/02,48,40000,N,5.65,0,6.99,1.84,3
1,783,7/5/02,60,12314,U,5.85,0,5.85,1.84,3
4,651,7/5/02,72,30798,N,6.25,0,8.99,1.84,3
1,783,7/5/02,60,30000,N,5.65,0,5.49,1.84,1
3,676,7/5/02,36,30000,N,4.95,0,6.99,1.84,1
1,786,7/5/02,60,28513,N,5.65,0,5.49,1.84,2
2,724,7/5/02,36,30000,N,4.95,0,5.79,1.84,1
4,669,7/5/02,60,30000,N,5.65,0,7.99,1.84,3
3,680,7/5/02,60,42323,N,5.65,0,6.99,1.84,1
1,796,7/5/02,36,25000,N,4.95,0,4.85,1.84,1
1,763,7/5/02,36,17500,N,4.95,0,4.85,1.84,1
1,752,7/5/02,48,30000,N,5.65,0,5.49,1.84,3
1,762,7/5/02,36,23000,N,4.95,0,4.85,1.84,3
1,755,7/5/02,60,35000,N,5.65,0,5.49,1.84,3
2,702,7/5/02,48,20000,N,5.65,0,5.79,1.84,1
1,799,7/5/02,60,32000,N,5.65,0,5.49,1.84,3
2,704,7/5/02,48,25453,N,5.65,0,5.79,1.84,1
1,778,7/5/02,48,19499,N,5.65,0,5.49,1.84,1
2,726,7/6/02,48,25000,U,5.85,0,6.19,1.84,3
1,737,7/5/02,72,35501,N,6.25,0,6.59,1.84,3
3,674,7/5/02,72,30000,N,6.25,0,7.49,1.84,1
1,781,7/5/02,36,26000,N,4.95,0,4.85,1.84,1
1,731,7/5/02,60,26861.24,U,5.85,0,5.85,1.84,3
1,735,7/5/02,72,12000,N,6.25,0,6.69,1.84,1
1,752,7/5/02,72,36000,N,6.25,1,6.59,1.84,3
1,760,7/5/02,72,16693.6,N,6.25,1,6.59,1.84,1
2,713,7/5/02,60,24500,N,5.65,0,5.79,1.84,3
1,779,7/5/02,36,38997,N,4.95,0,4.85,1.84,3
2,722,7/5/02,48,25000,N,5.65,0,5.79,1.84,3
1,775,7/5/02,72,21301,U,6.45,0,6.69,1.84,3
4,660,7/5/02,72,23222.06,U,6.45,1,8.99,1.84,1
4,659,7/5/02,60,31890,N,5.65,0,7.99,1.84,3
2,704,7/5/02,48,11500,U,5.85,1,6.19,1.84,3
1,810,7/5/02,72,22100,N,6.25,0,6.59,1.84,1
1,782,7/6/02,72,33000,N,6.25,0,6.59,1.84,3
3,679,7/5/02,60,17000,U,5.85,1,7.29,1.84,2
1,827,7/5/02,60,29500,N,5.65,0,5.49,1.84,3
3,685,7/5/02,72,23000,N,6.25,0,7.49,1.84,3
4,662,7/5/02,60,33911,U,5.85,0,7.99,1.84,1
1,779,7/5/02,36,10000,N,4.95,1,4.85,1.84,1
1,780,7/5/02,72,34550,N,6.25,0,6.59,1.84,3
1,794,7/5/02,60,21300,N,5.65,0,5.49,1.84,3
2,714,7/5/02,36,19827,N,4.95,0,5.79,1.84,3
3,684,7/5/02,60,29000,N,5.65,0,6.99,1.84,1
3,677,7/5/02,72,26000,N,6.25,0,7.49,1.84,1
1,756,7/5/02,60,27025.63,N,5.65,1,5.49,1.84,3
3,683,7/5/02,72,20000,N,6.25,0,7.49,1.84,3
4,657,7/5/02,72,22000,N,6.25,0,8.99,1.84,3
1,759,7/5/02,60,18688,N,5.65,0,5.49,1.84,3
1,770,7/5/02,36,18500,N,4.95,0,4.85,1.84,3
1,777,7/5/02,60,21000,N,5.65,0,5.49,1.84,3
3,683,7/5/02,36,27000,N,4.95,0,6.99,1.84,3
2,709,7/5/02,48,23756,U,5.85,0,6.19,1.84,3
1,770,7/5/02,60,30000,N,5.65,0,5.49,1.84,3
2,710,7/5/02,48,36350,N,5.65,0,5.79,1.84,3
2,710,7/5/02,60,38000,N,5.65,0,5.79,1.84,1
3,686,7/5/02,72,31122,U,6.45,0,7.69,1.84,1
2,726,7/5/02,60,13000,U,5.85,1,6.19,1.84,2
2,714,7/5/02,60,24895,U,5.85,1,6.19,1.84,2
3,675,7/5/02,36,6454.29,U,5.45,1,7.29,1.84,1
4,642,7/5/02,72,20000,N,6.25,0,8.99,1.84,3
4,646,7/5/02,36,17500,N,4.95,0,7.99,1.84,3
4,654,7/5/02,60,30000,N,5.65,0,7.99,1.84,3
1,746,7/6/02,60,30000,N,5.65,0,5.69,1.84,1
3,678,7/5/02,60,25000,N,5.65,0,6.14,1.84,1
4,668,7/5/02,48,15289,N,5.65,0,7.99,1.84,3
3,677,7/5/02,60,37000,N,5.65,0,6.99,1.84,3
4,663,7/5/02,72,26452,U,6.45,0,8.99,1.84,1
4,660,7/5/02,72,29000,U,6.45,0,8.99,1.84,3
2,714,7/5/02,60,31500,N,5.65,0,5.79,1.84,3
1,753,7/5/02,60,28999,N,5.65,0,5.49,1.84,3
4,654,7/5/02,60,30272,N,5.65,0,7.99,1.84,1
1,754,7/5/02,72,40000,U,6.45,0,6.69,1.84,3
1,780,7/6/02,72,33000,N,6.25,0,6.59,1.84,3
4,667,7/6/02,48,16801,N,5.65,0,7.99,1.84,3
3,683,7/6/02,72,40270,U,6.45,0,7.69,1.84,3
